id,category,product_subcategory,product,quantity,price,purchase_date
331,Food - Frozen Meals,Frozen Asian Meals,Spicy Thai Noodles,9,1.99,11/7/2023
332,Kitchen,Kitchen Storage & Organization,Magnetic Spice Jars,3,24.99,5/2/2024
333,Electronics,Mobile Accessories,Multi-Function Smartphone Holder,9,12.99,10/17/2024
334,Pets,Grooming Supplies,Pet Nail Clipper,5,12.99,9/18/2025
335,Pets,Pet Accessories,Portable Pet Water Bottle,6,18.99,12/29/2023
336,Clothing - Loungewear,Bathrobes,Terry Cloth Robe,6,59.99,10/25/2024
337,Travel,Travel Accessories,Travel Luggage Scale,6,14.99,10/27/2023
338,Kitchen,Cooking Appliances,Electric Stir Fry Pan,4,49.99,1/14/2024
339,Food - Spices,Herbs and Spices,Ground Cinnamon,10,1.99,9/10/2025
340,Food - Frozen Food,Frozen Meals,Teriyaki Chicken Wings,6,10.99,9/5/2025
341,Clothing,Outerwear,Rain Jacket,6,64.99,4/21/2024
342,Food - Seafood,Frozen Seafood,Garlic Butter Shrimp,4,8.99,6/26/2024
343,Food - Beverages,Herbal Beverages,Ginger Turmeric Latte Mix,7,5.29,1/17/2024
344,Food - Frozen,Frozen Meals,Coconut Rice,3,2.29,3/1/2024
345,Bicycles,Accessories,Bicycle Lock,10,29.99,12/27/2024
346,Food - Condiments,Fruit Spreads,Peach Preserves,10,3.79,4/21/2025
347,Kitchen,Coffee Accessories,Tea Infuser,9,12.99,4/20/2025
348,Food - Bakery,Breads,Whole Wheat Bread,3,2.49,4/29/2024
349,Safety,Hearing Protection,Noise Cancelling Ear Muffs,9,24.99,2/4/2024
350,Kitchen,Cooking Appliances,Induction Cooktop,8,89.99,9/10/2025
351,Food - Dressing,Vinaigrettes,Honey-Balsamic Vinaigrette,7,3.39,4/4/2025
352,Home,Decorative Wall Art & Accessories,Incense Holder,5,14.99,6/6/2025
353,Kitchen,Cooking Tools & Utensils,Digital Wireless Meat Thermometer,3,39.99,7/5/2024
354,Food - Condiments,Olive Products,Mediterranean Olives,9,6.49,2/1/2025
355,Kitchen,Cooking Appliances,Indoor Grill,10,59.99,2/3/2024
356,Tools,Hand Tools,Repair Tool Set for Home Improvement,4,29.99,4/12/2024
357,Food - Household,Household Supplies,Laundry Detergent,5,12.99,5/21/2025
358,Food - Frozen Foods,Frozen Meals,Coconut Curry Chicken,5,9.99,10/23/2023
359,Storage,Storage Devices,USB Flash Drive,10,9.99,11/29/2023
360,Pets,Pet Accessories,Pet Leash,10,15.99,12/15/2023
361,Food - Condiments,Dips,Roasted Garlic Aioli,10,3.79,1/9/2024
362,Food - Nuts,Nuts,Pistachios,3,6.99,12/2/2024
363,Food - Snacks,Healthy Snacks,Honey Almond Granola Bars,7,3.99,10/22/2024
364,Food - Beverages,Health Drinks,Green Smoothie Mix,9,5.99,2/18/2024
365,Food - Snacks,Healthy Snacks,Coconut Chia Seed Pudding,4,2.99,11/18/2023
366,Toys,Creative Toys,Children's Art Set,5,34.99,3/14/2024
367,Food - Baking,Cookies,Chocolate Mint Cookies,4,2.29,8/12/2025
368,Food - Frozen Vegetables,Frozen Veggie Snacks,Baked Falafel Balls,6,5.99,9/13/2025
369,Food - Snacks,Tortilla Chips,Blue Corn Tortilla Chips,9,3.49,12/17/2024
370,Toys,Building Toys,Foam Building Blocks for Kids,9,22.99,6/14/2024
371,Home,Home Appliances,Electric Stool Heater,8,29.99,4/30/2024
372,Food - Canned Goods,Canned Legumes,Chickpeas,10,1.29,6/18/2025
373,Clothing - Footwear,Women's Dress Shoes,Classic Pumps,8,64.99,10/29/2023
374,Food - Snacks,Savory Snacks,Cheddar Cheese Crackers,7,2.29,12/5/2023
375,Toys,Robotics Toys,Interactive Robot Toy,3,34.99,6/30/2025
376,Clothing - Pants,Work Pants,Utility Cargo Pants,9,54.99,1/11/2024
377,Kitchen,Cooking Appliances,Pasta Maker Machine,10,59.99,7/12/2024
378,Outdoor,Outdoor Recreation,Inflatable Paddle Board,5,349.99,11/28/2023
379,Outdoor,Outdoor Accessories,Inflatable Party Cooler,7,19.99,4/16/2024
380,Food - Frozen Foods,Frozen Pizza,Veggie Lovers Pizza,6,8.99,8/26/2025
381,Food - Cereal,Cereals,Honey Nut Cheerios,6,4.29,1/2/2024
382,Fitness,Hydration Gear,Glass Water Bottle,7,25.99,7/18/2025
383,Food - Baking,Mixes,Vegan Chocolate Cake Mix,7,4.29,9/11/2025
384,Kitchen,Cooking Tools & Utensils,Oven Thermometer,6,11.99,10/23/2024
385,Food - Frozen,Frozen Meals,Chickpea Pancakes,10,4.99,9/5/2024
386,Food - Bakery,Desserts,Chocolate Raspberry Tart,3,9.99,12/13/2023
387,Food - Snacks,Savory Snacks,Chocolate Covered Pretzels,9,3.29,2/2/2025
388,Home Appliances,Cleaning Appliances,Handheld Vacuum,7,79.99,4/11/2025
389,Toys,Outdoor Activity Toys,Kids' Trampoline,3,139.99,10/19/2023
390,Electronics,Computer Accessories,Multi-Port USB Hub,8,19.99,11/9/2023
391,Home,Air Quality & Purification,Bamboo Charcoal Air Purifier Bags,10,12.99,10/10/2023
392,Food - Condiments,Sauces,Mayonnaise,6,3.29,1/26/2025
393,Food - Condiments,Syrups,Wildflower Honey,3,4.99,8/22/2024
394,Electronics,Mobile Accessories,Adjustable Stand for Tablets and Smartphones,4,19.99,7/18/2025
395,Electronics,Cables & Accessories,High-Speed HDMI Cable,5,12.99,10/10/2023
396,Smart Home,Home Security,Smart Doorbell,6,119.99,5/24/2024
397,Food - Bakery,Breads,Whole Wheat Bread,5,2.49,1/20/2025
398,Food - Cereals,Granola,Maple Cinnamon Granola,10,4.29,1/11/2024
399,Kitchen,Food Storage Solutions,Reusable Snack Bags,6,14.99,3/10/2025
400,Food - Frozen Foods,Frozen Meal Kits,Teriyaki Chicken Stir-Fry,8,6.99,3/3/2024
401,Fitness,Strength Training Equipment,Bodyweight Resistance Bands,9,22.99,7/12/2024
402,Food - Grains,Legumes,Red Lentils,5,1.99,8/20/2024
403,Food - Baking,Baking Ingredients,Cinnamon Sugar Mix,9,1.49,11/12/2024
404,Food - Beverages,Herbal Tea,Organic Green Tea,3,4.29,5/16/2025
405,Fitness,Bikes & Cycling Equipment,Folding Exercise Bike,5,199.99,2/4/2025
406,Home Improvement,Outdoor Cleaning,Electric Pressure Washer,6,199.99,5/13/2024
407,Home Appliances,Floor Care Appliances,Robot Vacuum Cleaner,10,299.99,11/1/2024
408,Food - Canned Soups,Soups,Spiced Pumpkin Soup,3,3.99,10/22/2023
409,Food - Cereal,Granola,Nutty Granola Clusters,10,2.49,8/13/2024
410,Accessories,Laptop Accessories,Laptop Sleeve,9,24.99,12/15/2023
411,Home,Home Organization,Rechargeable Battery Organizer,4,17.99,7/31/2024
412,Outdoor,Camping Equipment,Portable Water Filter,5,29.99,7/6/2024
413,Food - Bakery,Breads,Artisan Flatbreads,9,2.99,3/21/2024
414,Kitchen,Cooking Tools & Utensils,Oven Thermometer,5,11.99,11/22/2023
415,Food - Soups,Vegetarian Soups,Carrot Ginger Soup,5,4.29,5/1/2025
416,Clothing - Shoes,Casual Footwear,Comfort Flats,5,44.99,8/26/2024
417,Home,Decorative Wall Art & Accessories,Inspirational Wall Art,9,24.99,4/28/2024
418,Food - Cereal,Oatmeal,Apple Cinnamon Instant Oatmeal,5,3.49,11/2/2024
419,Food - Supplements,Supplements,Elderberry Syrup,4,11.99,1/15/2024
420,Bathroom,Shower Accessories,High-Pressure Handheld Shower Head,7,39.99,11/6/2023
421,Food - Meat,Processed Meats,Andouille Sausage,9,5.49,4/22/2024
422,Food - Condiments,Marinades,Lemon Garlic Marinade,7,4.29,7/14/2025
423,Food - Meats,Breakfast Meats,Savory Breakfast Sausage,4,6.49,9/13/2024
424,Office,Office Supplies,Safety Pin Dispenser,7,5.99,5/26/2024
425,Food - Condiments,Mustards,Whole Grain Mustard,7,3.49,8/25/2025
426,Outdoor,Camping Equipment,Portable Camping Stove,5,49.99,9/15/2025
427,Home,Home Organization,Woven Storage Baskets,4,24.99,8/12/2024
428,Kitchen,Small Appliances,Multi-Functional Rice Cooker,8,49.99,11/10/2024
429,Home,Home Furnishings,Compact Shoe Rack,9,34.99,2/23/2024
430,Food - Baking,Baking Ingredients,Sesame Seeds,9,1.99,4/3/2024
431,Fitness,Yoga Equipment,Foldable Yoga Mat Carry Bag,9,18.99,9/4/2025
432,Food - Snacks,Sweet Snacks,Chocolate Dipped Fruit,3,5.99,7/29/2024
433,Kitchen,Small Appliances,Electric Hot Water Dispenser,9,59.99,11/9/2023
434,Kitchen,Drinkware,Magic Color-Changing Mug,10,14.99,1/6/2025
435,Food - Canned Goods,Sauces & Condiments,Spaghetti Sauce,6,2.99,1/12/2025
436,Food - Salads,Meal Kits,Kale Caesar Salad Kit,5,5.99,6/1/2025
437,Toys,Outdoor Play Toys,Children's Gardening Set,5,19.99,11/6/2024
438,Food - Bakery,Savory Snacks,Italian Breadsticks,6,2.49,10/25/2024
439,Food - Condiments,Asian Condiments,Thai Red Curry Paste,5,3.99,3/21/2025
440,Pets,Cat Care,Self-Cleaning Cat Litter Box,4,199.99,2/29/2024
441,Fitness,Cardio Equipment,Weighted Jump Rope,4,15.99,1/24/2025
442,Food - Salads,Grain Salads,Almond Quinoa Salad,5,5.99,11/19/2024
443,Food - Dairy,Yogurt,Greek Yogurt,6,1.99,4/27/2025
444,Pets,Dog Accessories,Portable Dog Water Bottle,7,18.99,3/8/2025
445,Garden,Gardening Accessories,Gardening Tool Belt,3,22.99,10/2/2024
446,Food - Salads,Bean Salads,Chipotle Black Bean Salad,9,3.29,11/27/2024
447,Kitchen,Kitchen Storage & Organization,Magnetic Spice Containers,6,24.99,3/29/2025
448,Food - Condiments,Nut Butters,Almond Butter,9,6.49,4/20/2025
449,Outdoor,Outdoor Accessories,Foldable Electric Scooter,6,349.99,2/3/2025
450,Home Appliances,Robotic Cleaners,Home Cleaning Robot,6,249.99,9/8/2025
451,Food - Snacks,Healthy Snacks,Energy Bites,6,3.99,10/31/2024
452,Baby,Safety Equipment,Baby Monitor,5,79.99,11/23/2023
453,Food - Sauces,Asian Sauces,Sesame Garlic Stir-Fry Sauce,5,2.79,12/24/2023
454,Food - Snacks,Dips and Spreads,Hummus Trio Pack,8,5.49,11/15/2023
455,Home,Kitchen Accessories,Fridge Magnet Set,10,15.99,9/27/2025
456,Health,Fitness & Nutrition,Plant-Based Protein Bars,3,19.99,1/31/2025
457,Food - Condiments,Marinades and Sauces,Thai Coconut Curry Sauce,7,3.99,9/2/2024
458,Clothing - Footwear,Boots,Ankle Boots,8,89.99,3/28/2024
459,Food - Prepared Foods,Salads,Chickpea Salad,10,5.49,2/6/2024
460,Accessories,Power Accessories,Wireless Charger,3,24.99,9/16/2025
461,Pets,Pet Accessories,LED Flashing Pet Collar,9,14.99,3/16/2025
462,Food - Snacks,Gourmet Snacks,Flavored Popcorn Mix,9,2.99,11/13/2024
463,Kitchen,Sustainable Tableware,Eco-Friendly Disposable Plates,9,22.99,7/26/2025
464,Food - Supplements,Supplements,Chocolate Protein Powder,8,24.99,10/31/2023
465,Food - Snacks,Healthy Snacks,Nutty Trail Mix,7,4.29,4/11/2024
466,Health,Injury Prevention & Recovery,Deep Tissue Massage Gun,6,89.99,1/23/2024
467,Health,Personal Care & Grooming,Face Mask Set,7,19.99,4/4/2025
468,Home,Lighting & Lamps,Luminous Night Light,9,15.99,5/4/2025
469,Home,Lighting & Lamps,LED Desk Lamp,3,35,10/5/2024
470,Home,Bedding & Linens,Comfortable Bed Pillow,7,24.99,2/1/2025
471,Food - Frozen Foods,Frozen Vegetables,Sweet Potato Mash,9,3.99,11/12/2024
472,Food - Sauces,Condiments,Honey Garlic Sauce,4,2.59,3/16/2025
473,Home Security,Cameras,Digital Wireless Camera,8,199.99,4/4/2024
474,Food - Snacks,Dried Fruits,Honeycrisp Apple Chips,4,3.49,2/22/2025
475,Outdoor,Fishing Equipment,Fishing Rod,9,49.99,1/16/2025
476,Garden,Planters,Herb Garden Planter Box,8,49.99,7/5/2025
477,Kitchen,Food Storage Solutions,Insulated Lunch Box,3,24.99,9/5/2024
478,Kitchen,Small Appliances,Pasta Maker,9,39,3/26/2024
479,Home,Bedding & Linens,Comfortable Bed Pillow,3,24.99,10/15/2024
480,Food - Canned Goods,Soups & Broths,Beef Chili,9,4.5,10/14/2024
481,Food - Condiments,Olives,Sliced Olives,3,1.99,5/11/2024
482,Health,Aromatherapy & Wellness,Essential Oils Diffuser Necklace,8,19.99,12/7/2023
483,Pets,Pet Safety Gear,Dog Car Seat Cover,8,39.99,8/29/2024
484,Books,Arts & Crafts,Coloring Books for Adults,9,14.99,2/18/2025
485,Food - Baking,Flours & Meals,Almond Flour,4,5.99,8/18/2025
486,Kitchen,Cooking Appliances,Sous Vide Cooker,9,79.99,4/9/2025
487,Food - Baking,Mixes,Chocolate Chip Cookie Dough,3,5.49,8/20/2025
488,Food - Beverages,Juice,Apple Juice,7,3.29,2/14/2025
489,Health,Medical Devices,Infrared Thermometer Gun,9,29.99,4/26/2024
490,Food - Salads,Grain Salads,Mediterranean Couscous Salad,6,5.49,5/9/2024
491,Food - Beverages,Herbal Beverages,Basil Lemonade,7,2.99,10/5/2025
492,Clothing - Accessories,Wallets,Classic Leather Wallet,6,34.99,7/12/2024
493,Automotive,Phone Accessories,Smartphone Holder for Car,6,14.99,3/16/2024
494,Food - Prepared Meals,Vegetarian Meals,Teriyaki Tofu Stir-Fry,10,7.49,10/19/2024
495,Toys,Creative Arts & Crafts,Kids' Crafting Station,8,49.99,10/15/2024
496,Home,Eco-Friendly Home Products,Biodegradable Trash Bags,3,12.99,4/27/2024
497,Food - Nuts,Savory Nuts,Garlic Parmesan Roasted Nuts,3,4.89,11/30/2023
498,Food - Grains,Rice,Jasmine Rice,9,2.39,5/25/2024
499,Toys,Educational Toys,Interactive Plush Toy,7,34.99,9/20/2025
500,Food - Produce,Condiments,Creamy Coleslaw Mix,6,2.39,7/15/2024
501,Health,Oral Care & Hygiene,Electric Toothbrush,5,49.95,4/7/2025
502,Outdoor,Bird Feeding Accessories,Window Bird Feeder with Suction Cups,3,28.99,4/6/2024
503,Food - Frozen Foods,Frozen Snacks,Spinach Pizza Rolls,10,4.99,5/28/2025
504,Home,Home Organization,Bamboo Bathtub Caddy,7,34.99,10/25/2024
505,Home Appliances,Heating Appliances,Infrared Space Heater,3,99.99,6/13/2024
506,Food - Sauces,Asian Sauces,Sesame Garlic Stir-Fry Sauce,6,2.79,8/31/2025
507,Accessories,Jewelry Storage,Travel Jewelry Organizer,6,19.99,7/1/2025
508,Clothing - Shoes,Footwear - Boots,Stylish Combat Boots,10,99.99,1/10/2024
509,Food - Snacks,Sweet Snacks,Caramel Apple Chips,9,3.49,3/17/2025
510,Food - Dips,Mediterranean Dips,Traditional Hummus,4,3.29,9/29/2025
511,Food - Frozen Foods,Frozen Pizza,Veggie Lovers Pizza,7,8.99,1/3/2024
512,Food - Snacks,Dips and Spreads,Hummus Trio Pack,8,5.49,6/12/2024
513,Fitness,Hydration Gear,Smart Thermos,8,39.99,11/12/2023
514,Outdoor,Garden Supplies,Outdoor Mosquito Repellent Lantern,7,34.99,3/25/2024
515,Beauty,Bath & Body,Luxury Bath Salts,5,19.99,9/6/2025
516,Outdoor,Camping Equipment,LED Camping Lantern with USB Charging,8,34.99,8/5/2024
517,Food - Spices & Seasonings,Seasoning Mixes,Chili Con Carne Mix,5,2.99,9/19/2025
518,Storage,Storage Devices,Memory Card,7,15.99,9/24/2025
519,Outdoor,Grilling Accessories,Portable Charcoal Grill,5,89.99,11/5/2023
520,Garden,Garden Decor,Garden Tool Belt,7,22.99,9/9/2025
521,Electronics,Solar Power Accessories,Portable Solar Charger,3,29.99,6/24/2024
522,Food - Meats,Breakfast Meats,Savory Breakfast Sausage,9,6.49,11/22/2023
523,Safety,Self-Defense Tools,Personal Security Alarm Keychain,4,10.99,7/5/2025
524,Outdoor,Outdoor Recreation,Outdoor Inflatable Pool,6,149.99,10/6/2025
525,Kitchen,Kitchen Storage & Organization,Spice Rack,9,39.99,11/1/2024
526,Clothing - Footwear,Athletic Footwear,Casual Sneakers,7,39.99,7/15/2024
527,Home,Air Quality & Purification,Air Purifier,8,129.99,6/9/2025
528,Travel,Travel Accessories,Travel Luggage Scale,3,14.99,4/11/2025
529,Food - Beverages,Coffee,Cold Brew Coffee Concentrate,10,7.99,8/29/2025
530,Accessories,Tech Accessories,Portable Hand Warmer,4,24.99,1/24/2025
531,Clothing - Outerwear,Jackets,Luxe Velvet Blazer,4,89.99,4/2/2024
532,Food - Meat,Prepared Poultry,Honey mustard chicken tenders,9,7.99,5/21/2024
533,Food - Cooking Oil,Infused Oils,Basil-infused Olive Oil,9,6.99,7/2/2025
534,Clothing - Footwear,Women's Dress Shoes,Classic Pumps,3,64.99,8/4/2024
535,Accessories,Mobile Accessories,Phone Screen Protector,5,12.99,9/23/2025
536,Office,Sustainable Stationery,Eco-Friendly Notepad,7,8.99,8/6/2024
537,Accessories,Kids' Bags,Kids' Dinosaur-Themed Lunchbox,8,19.99,6/1/2024
538,Clothing - Footwear,Athletic Footwear,Casual Sneakers,10,39.99,10/25/2023
539,Food - Nuts,Flavored Nuts,Maple Cinnamon Almonds,3,4.29,7/22/2024
540,Accessories,Mobile Accessories,Smartphone Hand Grip,9,9.99,8/15/2025
541,Health,Oral Care & Hygiene,Bamboo Toothbrush Holder,8,14.99,9/9/2024
542,Clothing - Tops,Graphic Tees,Vintage Graphic Tee,8,25.99,10/14/2024
543,Accessories,Mobile Accessories,Wireless Charging Pad,3,19.99,6/17/2025
544,Food - Pantry,Condiments,Nutritional Yeast,9,3.59,2/28/2024
545,Food - Dairy,Dairy Spreads,Whipped Cream Cheese,6,2.99,6/18/2024
546,Food - Produce,Mixed Vegetables,Vegetable Medley,7,2.99,9/29/2025
547,Garden,Garden Tools,Heavy Duty Gardening Tool Set,5,49.99,7/6/2024
548,Pets,Travel Accessories,Pet Travel Backpack Carrier,7,49.99,6/1/2024
549,Fitness,Strength Training Equipment,Adjustable Resistance Bands,4,39.99,10/6/2025
550,Food - Beverages,Sparkling Beverages,Cranberry Lime Sparkling Water,8,1.5,1/11/2025
551,Garden,Garden Tools,Watering Can with Nozzle,3,19.99,11/21/2023
552,Pets,Grooming Supplies,Pet Grooming Brush,10,19.99,3/30/2024
553,Kitchen,Kitchen Storage & Organization,Magnetic Spice Containers,10,24.99,2/25/2025
554,Kitchen,Cutting Boards & Utensils,Dishwasher Safe Cutting Board,10,22.99,12/2/2023
555,Food - Snacks,Savory Snacks,Oven-Baked Cheese Crisps,9,3.99,8/14/2024
556,Food - Condiments,Spicy Sauces,Chili Garlic Sauce,5,2.49,4/21/2024
557,Food - Meat,Marinated Meats,Tandoori Chicken Skewers,8,7.99,3/19/2024
558,Food - Cereal,Oatmeal,Apple Cinnamon Instant Oatmeal,7,3.49,5/28/2025
559,Food - Dairy,Yogurt,Greek Yogurt,3,1.99,11/14/2023
560,Kitchen,Drinkware,Travel Mug with Leak-Proof Lid,7,24.99,6/3/2024
561,Food - Canned Goods,Soups & Broths,Classic Beef Chili,9,7.99,3/2/2024
562,Food - Baking,Mixes,Chocolate Chip Cookie Dough,8,5.49,4/10/2025
563,Pets,Dog Accessories,Adjustable Dog Harness,6,24.99,1/27/2025
564,Kitchen,Cooking Tools & Utensils,Cooking Utensil Set,5,24.99,8/14/2025
565,Footwear,Outdoor Footwear,Men's Waterproof Hiking Boots,8,89.99,8/4/2024
566,Pets,Pet Accessories,LED Flashing Pet Collar,5,14.99,8/12/2025
567,Beauty,Mirrors,LED Makeup Mirror,8,39.99,7/30/2024
568,Food - Condiments,Marinades and Sauces,Italian Herb Balsamic Marinade,10,3.99,2/4/2025
569,Pets,Training Supplies,Dog Training Collar,6,39.99,9/27/2025
570,Food - Condiments,Seasoning Blends,Potato Wedge Seasoning,8,2.49,3/4/2024
571,Food - Snacks,Dips and Spreads,Spinach Artichoke Dip,10,4.99,5/11/2024
572,Food - Frozen Foods,Frozen Vegetables,Frozen Cauliflower Rice,8,2.99,3/20/2024
573,Food - Meat,Barbecue & Grilled Meats,Honey BBQ Ribs,5,12.99,4/24/2024
574,Kitchen,Small Appliances,Microwave Popcorn Maker,9,19.99,4/9/2024
575,Toys,Educational Toys,Children's Science Experiment Lab Kit,4,29.99,9/17/2024
576,Pets,Grooming Supplies,Pet Grooming Gloves,9,9.99,10/9/2024
577,Books,Cookbooks & Nutrition,Cookbook,8,27.99,6/27/2024
578,Toys,Board Games,Magnetic Chess Set,4,19.99,4/21/2025
579,Food - Produce,Herbs & Spices,Fresh Cilantro,10,1.49,3/19/2025
580,Smart Home,Home Automation Accessories,Smart Plug,6,19.99,2/23/2024
581,Food - Condiments,Seasoning Blends,Spicy Beef Taco Mix,10,1.99,4/30/2024
582,Clothing - Footwear,Boots,Suede Ankle Booties,8,79.99,8/17/2025
583,Food - Canned Goods,Canned Vegetables,Sweet Corn,3,1.5,12/12/2024
584,Home,Decorative Wall Art & Accessories,Decorative Throw Pillows,3,29.99,3/23/2025
585,Beauty,Skincare,Skincare Set,3,54.99,2/14/2025
586,Clothing - Bottoms,Trousers,Linen Trousers,7,44.99,5/1/2024
587,Food - Pasta,Noodles,Organic Ramen Noodles,4,2.89,1/17/2025
588,Food - Bakery,Breads,Artisan Bread,9,4.59,8/2/2024
589,Outdoor,Outdoor Recreation,Inflatable Pool Float,7,29.99,8/23/2024
590,Food - Sides,Potatoes,Instant Mashed Potatoes,5,1.79,2/23/2024
591,Food - Spices,Seasoning Blends,Cajun Seasoning,3,1.99,5/22/2024
592,Clothing - Shirts,Casual Shirts,Oversized Denim Shirt,7,49.99,1/20/2025
593,Food - Snacks,Protein Snacks,Cherry Almond Protein Bar,3,1.99,7/3/2025
594,Food - Dairy,Flavored Yogurt,Raspberry Vanilla Greek Yogurt,5,3.49,10/12/2023
595,Electronics,Home Entertainment Equipment,Portable Projector,5,199.99,1/16/2024
596,Home,Bedding & Linens,Soft Plush Throw Blanket,5,29.99,7/6/2025
597,Food - Condiments,Fruit Spreads,Strawberry Rhubarb Jam,6,4.29,3/31/2025
598,Clothing - Tops,Sustainable Fashion,Bamboo Cotton Tank Top,7,22.99,1/18/2024
599,Food - Frozen Foods,Frozen Vegetables,Cauliflower Rice Stir-Fry,8,4.99,3/22/2025
600,Food - Baking,Mixes,Chocolate Fudge Brownie Mix,5,2.99,10/19/2024
601,Food - Salads,Vegetarian Salads,Kale Salad with Lemon Dressing,3,4.99,8/22/2024
602,Food - Bakery,Desserts,Coconut Cream Pie,9,9.49,1/1/2024
603,Audio,Headphones,Over-Ear Headphones,10,59.99,5/13/2025
604,Kitchen,Cooking Appliances,Electric Ice Cream Maker,6,59.99,3/25/2024
605,Food - Meat,Processed Meats,Sliced Ham,3,5.49,2/10/2025
606,Food - Snacks,Gourmet Snacks,Sea Salt Caramel Popcorn,5,3.99,6/28/2025
607,Food - Canned Goods,Canned Fruits,Peach Slices (canned),10,2.49,8/7/2025
608,Food - Dairy,Cottage Cheese,Low-Fat Cottage Cheese,9,2.99,1/19/2025
609,Pets,Training Supplies,Dog Training Collar,5,39.99,11/20/2023
610,Home,Decorative Wall Art & Accessories,Wall Art,6,45,6/6/2025
611,Food - Frozen,Frozen Vegetables,Frozen Mixed Vegetables,3,1.99,9/26/2025
612,Food - Snacks,Nuts and Trail Mix,Mixed Nuts,4,5.99,12/26/2023
613,Food - Prepared Meals,Vegetarian Meals,Lentil Vegetable Curry,10,4.49,4/12/2025
614,Home,Eco-Friendly Home Products,Biodegradable Trash Bags,6,12.99,10/2/2024
615,Toys,Educational Toys,Creative Puzzle Game,3,19.99,9/4/2025
616,Food - Bakery,Breads,French Bread,3,2.49,9/19/2024
617,Home,Smart Home & Security,Smart LED Light Strip,9,29.99,4/29/2025
618,Food - Baking,Baking Ingredients,Organic Coconut Flour,7,5.49,6/23/2024
619,Food - Bakery,Breads,Artisan Bread Loaf,4,3.99,3/10/2025
620,Food - Frozen Foods,Frozen Smoothies,Frozen Acai Bowl,6,6.49,1/18/2025
621,Pets,Dog Accessories,Adjustable Dog Harness,8,24.99,3/14/2025
622,Food - Spices & Seasonings,Seasoning Mixes,Chili Con Carne Mix,5,2.99,11/2/2024
623,Garden,Indoor Gardening Kits,Mini Indoor Herb Garden Kit,10,24.99,3/6/2024
624,Food - Snacks,Sweet Snacks,Crispy Rice Treats,5,3.5,11/11/2023
625,Food - Meat,Marinated Poultry,Lemon Herb Chicken,6,7.49,1/26/2024
626,Food,Beverages,Coffee Subscription Service,4,29.99,6/28/2024
627,Office,Furniture,Adjustable Laptop Desk,9,59.99,10/8/2025
628,Electronics,Portable Power Solutions,Solar Power Bank,9,39.99,1/7/2025
629,Clothing - Tops,Sweaters,Warm Wool Sweater,8,59.99,5/19/2025
630,Food - Dairy,Dairy Alternatives,Almond Milk,10,3.29,3/2/2025
631,Food - Condiments,Herbal Butters,Herb Garlic Butter,4,3.99,10/19/2024
632,Food - Soups,Chili,Ready-to-Eat Chili,5,2.99,12/25/2024
633,Travel,Travel Accessories,Travel Organizer,9,22.99,5/12/2025
634,Toys,STEM Learning Toys,Educational STEM Kit,7,35.99,9/25/2024
635,Fitness,Yoga Equipment,Yoga Strap,9,12.99,11/27/2023
636,Home,Home Organization,Pest Control Traps,8,22.99,11/9/2023
637,Food - Beverages,Herbal Tea,Honey Lemon Tea,3,3.29,10/26/2023
638,Accessories,Wallets,Leather Wallet,7,49.99,11/18/2023
639,Home,Bedding & Linens,Faux Fur Throw Blanket,7,39.99,11/2/2023
640,Home,Lighting & Lamps,LED Table Lamp,8,29.99,10/8/2025
641,Food - Spices,Rubs and Seasonings,Steak Seasoning Rub,7,2.49,10/27/2024
642,Accessories,Personal Care,Rechargeable Hand Warmer,4,22.99,2/5/2024
643,Gaming,Gaming Accessories,Gaming Mousepad,6,19.99,5/5/2024
644,Kitchen,Cooking Tools & Utensils,Oven Mitts with Pocket,6,19.99,9/29/2024
645,Food - Snacks,Healthy Snacks,Maple Cinnamon Granola Bars,7,3.49,7/14/2024
646,Pets,Pet Safety Gear,Dog Car Seat Cover,6,39.99,1/2/2025
647,Food - Nuts,Flavored Nuts,Maple Cinnamon Almonds,3,4.29,2/22/2024
648,Food - Snacks,Healthy Snacks,Chocolate Chip Energy Balls,6,3.99,12/7/2023
649,Food - Condiments,Nut Butters,Peanut Butter,4,3.79,8/11/2025
650,Food - Snacks,Protein Snacks,Chocolate Coconut Protein Balls,6,2.99,10/3/2024
651,Food - Bakery,Breads,Pita Bread,8,2.99,2/10/2025
652,Food - Pasta,Pasta,Spinach and Ricotta Ravioli,3,6.49,8/31/2025
653,Food - Snacks,Chocolate Snacks,Dark Chocolate Bars,6,2.99,1/13/2024
654,Food - Cheese,Specialty Cheeses,Buffalo Stilton Cheese,6,8.99,5/5/2025
655,Gaming,Gaming Accessories,Ergonomic Gaming Chair,6,199.99,7/18/2025
656,Clothing - Tops,Graphic Tees,Vintage Graphic Tee,7,25.99,10/19/2023
657,Food - Oils & Vinegars,Oils,Lemon Zest Olive Oil,6,8.99,10/31/2023
658,Food - Frozen Foods,Frozen Meat Products,Frozen Chicken Nuggets,5,4.49,6/8/2025
659,Food - Condiments,Fruit Spreads,Peach Preserves,3,3.79,10/21/2024
660,Clothing - Dresses,Dresses,Pleated Midi Dress,7,79.99,11/18/2024
661,Office,Furniture,Adjustable Height Standing Desk Converter,6,89.99,4/19/2024
662,Outdoor,Outdoor Accessories,Shatterproof Wine Glasses,5,24.99,12/24/2024
663,Food - Dairy,Yogurt,Low-Fat Yogurt,3,3.29,10/21/2023
664,Automotive,Automotive Accessories,Bluetooth Car Adapter,10,24.99,4/6/2025
